,Mus Score,PB Score,Mus Files,PB Files
0,0.480013026,0.836166838,AHSupermanMuscles_20190628115530,AHSupermanPowerbars_20190628115911
1,0.748706322,0.60814773,AHSupermanMuscles_20190628121718,AHSupermanPowerbars_20190628121929
2,0.607304774,0.710285994,AHSupermanMuscles_20190628125529,AHSupermanPowerbars_20190628125329
3,0.245768789,0.268371531,AHSupermanMuscles_20190628132529,AHSupermanPowerbars_20190628132235
4,0.568198883,0.500867405,AHSupermanMuscles_20190629114214,AHSupermanPowerbars_20190629114336
5,0.467012525,0.506262325,AHSupermanMuscles_20190629120319,AHSupermanPowerbars_20190629120448
6,0.524755836,0.623900873,AHSupermanMuscles_20190701124745,AHSupermanPowerbars_20190701125155
7,0.790091814,0.659607096,AHSupermanMuscles_20190708213523,AHSupermanPowerbars_20190708213713
8,0.74208045,0.632959641,AHSupermanMuscles_20190709210714,AHSupermanPowerbars_20190709211015
9,0.740791287,0.713249994,AHSupermanMuscles_20220526162226,AHSupermanPowerbars_20220526162310
10,0.315079759,0.531231927,AHSupermanMuscles_20220623102137,AHSupermanPowerbars_20220623102234
11,0.769627996,0.780111344,AHSupermanMuscles_20220623110527,AHSupermanPowerbars_20220623110654
12,0.855705315,0.877455647,AHSupermanMuscles_20220623122003,AHSupermanPowerbars_20220623122039
13,0.418483414,0.682373677,AHSupermanMuscles_20221216111131,AHSupermanPowerbars_20221216111419
14,0.704799169,0.646391006,AHSupermanMuscles_20221216123441,AHSupermanPowerbars_20221216123500
15,0.658334739,0.886589329,AHSupermanMuscles_20221216142742,AHSupermanPowerbars_20221216143123
